Name,Term,ES,NES
BC120926_Treg2,TH1,-2760.6481821954003,-0.8489240606757787
BC120926_Th1/17,TREG,-2679.6629485412354,-0.8240203754282812
BC120926_Treg22,TH1,-2560.6644714989066,-0.7874272771129897
BC120926_Naive,TREG,-2558.2461900365324,-0.786683633887411
BC121206_Treg22,TH1,-2554.9225657773623,-0.7856615896369149
BC121206_Naive,TH2,-2554.169539237538,-0.78543002722628
BC121206_Th1/17,TREG,-2549.751156314591,-0.7840713348739694
BC120926_Th1,TREG,-2497.058827428107,-0.7678679714416886
BC120926_Naive,TH2,-2458.8196716801144,-0.7561090882983161
BC121206_Naive,TREG,-2443.704454444573,-0.7514610235154331
BC120926_Th17,TREG,-2416.4861127084932,-0.7430911394641163
BC120926_Th22,TREG,-2414.743321818247,-0.7425552156441242
BC121206_Treg2,TH1,-2401.3578426255144,-0.7384390608136492
BC120607_Treg22,TH1,-2375.9889840322685,-0.7306379094063151
BC120926_Th2,TREG,-2372.1689900045135,-0.7294632270028442
BC120926_Treg17,TH1,-2368.813918896847,-0.7284315125645664
BC120607_Treg2,TH1,-2350.5978862760103,-0.7228299192570173
BC121206_Th17,TREG,-2320.712736606691,-0.7136399678627016
BC121206_Naive,TH1,-2318.4934368469044,-0.7129575132942109
BC121206_Th2,TREG,-2318.081889593347,-0.7128309588249007
BC120926_Naive,TH1,-2308.226539276218,-0.7098003502654477
BC121206_Th1,TREG,-2296.3665780574374,-0.7061533058857117
BC121206_Treg22,TH,-2296.143929509045,-0.7060848394614045
BC120607_Naive,TREG,-2292.0166222169037,-0.704815655474579
BC121206_Treg17,TH1,-2236.9068496299824,-0.6878689064360243
BC121206_Th22,TREG,-2225.1406858118535,-0.6842507055977273
BC121206_Treg17,TH2,-2218.888543541224,-0.682328115809381
BC120926_Treg22,TH,-2199.260161800218,-0.6762922124880032
BC120607_Naive,TH2,-2162.799536809734,-0.6650802434941548
BC121206_Treg1,TH,-2159.396332928668,-0.664033727796626
BC121206_Treg1/17,TH2,-2157.407803497504,-0.6634222371726615
BC120607_Th1/17,TREG,-2156.353362917841,-0.6630979872430971
BC120926_Treg1,TH,-2107.83070896701,-0.6481768362277776
BC121206_Treg1/17,TH,-2096.9819105424826,-0.6448407334706784
BC120607_Th1,TREG,-2091.4615674058655,-0.6431431784754114
BC120926_Treg2,TH,-2079.1070560173644,-0.6393440554856608
BC120926_Treg1,TH2,-2075.8264710108024,-0.6383352461911176
BC120607_Th2,TREG,-2070.4309068689918,-0.6366760618551911
BC120607_Th17,TREG,-2067.1598260658448,-0.6356701751883874
BC121206_Treg1,TH2,-2042.1976980563363,-0.6279940970812204
BC120926_Treg1/17,TH2,-2034.793806682876,-0.6257173341202256
BC121206_Treg1/17,TH1,-2019.1475901565473,-0.620905982295894
BC120607_Treg17,TH1,-2015.1352248915655,-0.6196721440126854
BC120926_Treg1/17,TH,-1999.4049862087045,-0.6148349546221004
BC121206_Treg22,TH2,-1992.2177406579863,-0.6126248121934706
BC120926_Naive,TH17,-1964.0987620352234,-0.6039779742267769
BC120607_Naive,TH1,-1955.4280975400225,-0.6013116671763182
BC121206_Treg2,TH,-1954.3358445949698,-0.6009757896054712
BC121206_Naive,TH17,-1941.0024137138666,-0.5968756400973494
BC120607_Treg22,TH,-1940.7015516539195,-0.5967831223171842
BC120607_Th22,TREG,-1928.7762319017029,-0.5931159796025852
BC120926_Treg22,TH2,-1927.247606362222,-0.592645913547592
BC120926_Treg17,TH2,-1919.776726704094,-0.5903485510886225
BC120926_Treg1/17,TH1,-1875.9376937315046,-0.5768676555050375
BC120607_Naive,TH17,-1867.6998928626144,-0.5743344578995768
BC120607_Treg1,TH2,-1859.8882153463983,-0.5719322970445554
BC120926_Treg17,TH,-1854.3884471577358,-0.5702410690302048
BC121206_Treg17,TH,-1853.986614448041,-0.5701175018702073
BC120607_Treg1/17,TH2,-1853.9290227088468,-0.5700997918941902
BC120926_Th2,TH1,-1806.1511788718335,-0.5554076766648619
BC120607_Treg1/17,TH,-1776.4126106134981,-0.5462628003682839
BC121206_Treg1,TH1,-1715.342271292342,-0.5274831236323173
BC121206_Treg2,TH2,-1706.514231775418,-0.5247684223520717
BC120926_Treg1,TH1,-1702.4341796387926,-0.5235137697491318
BC121206_Th17,TH2,-1695.7822975026393,-0.5214682563691294
BC120926_Treg2,TH2,-1694.43282400723,-0.5210532811734903
BC120607_Treg17,TH2,-1691.7777237358077,-0.52023681404144
BC120607_Treg1,TH,-1678.4544643033105,-0.5161397923449347
BC120607_Treg1/17,TH1,-1669.8714392597776,-0.5135004352114069
BC120607_Treg2,TH,-1660.4748998089372,-0.5106109151058192
BC120926_Th1/17,TH2,-1631.0704082469847,-0.5015687703878247
BC120607_Treg22,TH2,-1621.8322038224487,-0.4987279397220376
BC121206_Th2,TH1,-1616.4754204632,-0.4970806808243546
BC120607_Treg17,TH,-1586.3213841182105,-0.48780804436714537
BC120926_Th17,TH2,-1582.6546673501198,-0.4866804960948986
BC121206_Th1/17,TH2,-1576.152548763952,-0.4846810363488996
BC120926_Th22,TH1,-1575.4590623501454,-0.48446778306069394
BC120926_Th1,TH2,-1543.8863279009956,-0.47475888422017043
BC121206_Th1,TH2,-1536.998773274643,-0.4726408994370172
BC120607_Treg2,TH2,-1505.7922153574555,-0.4630446031622398
BC120926_Th17,TH1,-1457.531404378241,-0.44820397120768196
BC121206_Th22,TH1,-1400.125289153034,-0.4305510762249358
BC120607_Th2,TH1,-1397.5276616255214,-0.42975228247678593
BC120607_Treg1,TH1,-1394.3660668542752,-0.4287800637461532
BC120607_Th17,TH2,-1391.831124668336,-0.42800054630240764
BC121206_Treg1,TH17,-1376.758206920881,-0.42336548899125626
BC120926_Treg2,TH17,-1365.1437472680836,-0.41979393854357594
BC120926_Th2,TH17,-1319.0663066683755,-0.40562471255102517
BC121206_Th17,TH1,-1270.027568292363,-0.3905448609491179
BC121206_Treg2,TH17,-1250.5371324561984,-0.3845513772299359
BC120926_Treg22,TH17,-1235.331486108602,-0.37987550468454834
BC121206_Th2,TH17,-1231.2613698684136,-0.3786239074588217
BC120607_Th22,TH1,-1207.0872790135008,-0.3711901578401442
BC120607_Th1/17,TH2,-1186.78349783048,-0.3649465631365064
BC120607_Th1,TH2,-1174.213178912214,-0.3610810773969952
BC120926_Treg1,TH17,-1151.6174642952037,-0.35413269261900837
BC121206_Th2,TH2,-1135.1096414433378,-0.3490563891266967
BC120926_Th22,TH2,-1101.9986066641786,-0.33887444914637394
BC121206_Th22,TH2,-1080.6516882489786,-0.33231008039383886
BC121206_Treg22,TH17,-1075.0293889891482,-0.3305811729768155
BC120607_Treg2,TH17,-1065.4308452959485,-0.32762953475606804
BC120607_Th17,TH1,-1048.9013308077529,-0.3225465608911553
BC120926_Th2,TH2,-1046.841793229024,-0.3219132346253439
BC120607_Treg1,TH17,-1006.4906143975204,-0.3095048854529936
BC121206_Th1,TH17,-914.6032087961003,-0.2812486846117527
BC120607_Th2,TH2,-860.4732913877788,-0.2646032498234004
BC120926_Treg1/17,TH17,-859.4298250858237,-0.2642823745825975
BC121206_Treg17,TREG,-855.7791831224631,-0.26315976945688935
BC120607_Th2,TH17,-832.4368898305529,-0.2559818050445263
BC120926_Th1,TH17,-831.2190995236497,-0.2556073236096751
BC121206_Treg1/17,TH17,-820.482582390533,-0.25230574835610103
BC120607_Treg22,TH17,-814.4116006439499,-0.2504388670527039
BC120926_Treg17,TH17,-708.8091386248261,-0.21796516343019398
BC120607_Th22,TH2,-636.0913086745159,-0.19560377892524922
BC120607_Treg1/17,TH17,-598.4360274962428,-0.1840244424455365
BC120926_Treg17,TREG,-537.8463709579773,-0.16539257997383586
BC120607_Th1/17,TH17,491.2895470731164,0.1510759393242213
BC120607_Th1/17,TH1,476.80411940653175,0.14662154047881568
BC121206_Naive,TH,-462.0272391999588,-0.14207751736497307
BC121206_Th17,TH,-461.5843361993475,-0.14194132072239132
BC121206_Treg17,TH17,-449.84064451235736,-0.13833003026584506
BC121206_Treg1/17,TREG,-442.17983240288686,-0.13597426187565706
BC120607_Treg17,TREG,-412.6182752397053,-0.12688381807745092
BC120607_Th1,TH1,409.84427166410023,0.1260307871135926
BC120607_Th1,TH17,-399.7439922705007,-0.12292486066774046
BC121206_Treg2,TREG,-382.8576379048027,-0.11773215534201566
BC120607_Treg17,TH17,-368.95541114552725,-0.11345709600304038
BC120926_Treg1/17,TREG,-352.39094394586846,-0.10836337386605938
BC121206_Th22,TH,-347.509065505752,-0.10686215248774764
BC120926_Treg2,TREG,-315.58357944338604,-0.09704477936432462
BC120607_Treg2,TREG,-308.91397555840194,-0.09499381638771058
BC120926_Naive,TH,-306.90179849160813,-0.09437505390382796
BC121206_Th1/17,TH17,298.1914455485239,0.09169654229990389
BC120926_Treg22,TREG,-295.0979997468967,-0.09074527998827189
BC121206_Treg22,TREG,-282.7274608330781,-0.08694122839082598
BC120607_Th17,TH,-262.4009051905459,-0.08069063033675303
BC120926_Th22,TH17,-254.28331550183884,-0.07819439874669333
BC120926_Th17,TH,-253.2500922705649,-0.07787667334193708
BC121206_Treg1,TREG,-251.41460631330392,-0.07731224495797973
BC120607_Th17,TH17,249.74814105042606,0.0767997919525365
BC120926_Treg1,TREG,-236.30959434468787,-0.07266731838614966
BC121206_Th1,TH,-219.28941908866273,-0.06743346193716605
BC120607_Th22,TH,-215.64000048791786,-0.06631123300642765
BC121206_Th22,TH17,-202.98372364918214,-0.062419314435901214
BC121206_Th2,TH,-202.19481525782794,-0.06217671803429925
BC120926_Th1/17,TH1,-194.14582270475967,-0.05970158067830849
BC120926_Th1,TH1,-189.66554912309493,-0.0583238563936948
BC120607_Th22,TH17,176.9668886393365,0.05441890447242451
BC121206_Th1,TH1,-169.17760657317103,-0.05202363041903187
BC121206_Th1/17,TH,-140.79099425235654,-0.04329449269129324
BC120607_Treg1/17,TREG,-134.88328401810577,-0.04147781884139771
BC121206_Th1/17,TH1,121.10282079725403,0.0372402028818967
BC120607_Treg1,TREG,-109.62294832751104,-0.03371003919935742
BC120607_Treg22,TREG,-108.1445313922477,-0.03325541274019828
BC120926_Th17,TH17,72.74349110282401,0.02236927553935258
BC120926_Th22,TH,-72.47817883145945,-0.02228768963782173
BC120926_Th2,TH,-65.27763043882078,-0.020073456466063445
BC120607_Th1/17,TH,-54.72358606715534,-0.016827993222202547
BC120607_Th1,TH,-54.68545987221478,-0.016816269075519967
BC120926_Th1/17,TH17,28.01055043213546,0.008613495326196203
BC120607_Th2,TH,-24.716056956862303,-0.00760040905285781
BC120926_Th1/17,TH,8.897133033405225,0.002735948155872753
BC120607_Naive,TH,5.048259679859257,0.0015523851008656308
BC121206_Th17,TH17,4.0207492223589725,0.0012364164252503661
BC120926_Th1,TH,-2.9256947800940907,-0.000899677368899739
